time,AZUL4,GOLL4,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2023-04-26 10:25:00,10.41,6.63,0.5106490726085138,-1.9646793528965842,1.691287801240266,-1.84365400771159,True,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 10:30:00,10.33,6.5600000000000005,0.5351671065327075,-1.9125243776340464,1.691287801240266,-1.84365400771159,True,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 10:35:00,10.27,6.51,0.5498228450499898,-1.88008831415189,1.691287801240266,-1.84365400771159,True,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 10:40:00,10.27,6.52,0.5348916973465325,-1.906372679282993,1.691287801240266,-1.84365400771159,True,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 10:45:00,10.26,6.48,0.5846162881603565,-1.8047626009975586,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 10:50:00,10.24,6.49,0.5496851404569014,-1.8706643459195935,1.691287801240266,-1.84365400771159,True,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 10:55:00,10.22,6.49,0.5296851404569018,-1.9068546648779519,1.691287801240266,-1.84365400771159,True,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:00:00,10.21,6.49,0.5196851404569021,-1.9232379578949417,1.691287801240266,-1.84365400771159,True,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:05:00,10.19,6.47,0.5295474358638135,-1.9004525096028395,1.691287801240266,-1.84365400771159,True,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:10:00,10.24,6.5,0.5347539927534459,-1.8869081532262166,1.691287801240266,-1.84365400771159,True,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:15:00,10.15,6.43,0.5492720266776399,-1.8551773869736694,1.691287801240266,-1.84365400771159,True,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:20:00,10.17,6.38,0.6439277651949205,-1.6659291683641455,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:25:00,10.15,6.35,0.6687212083052891,-1.614660300270758,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:30:00,10.13,6.34,0.6636523560087468,-1.6222338796085731,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:35:00,10.14,6.32,0.7035146514156576,-1.541498764095453,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:40:00,10.05,6.26,0.703101537636396,-1.5401576089964137,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:45:00,10.06,6.26,0.7131015376363958,-1.5183233200393997,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:50:00,9.97,6.17,0.7574818669675025,-1.4289578654427,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 11:55:00,9.9,6.15,0.7173441623744132,-1.5059468849983533,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:00:00,9.94,6.18,0.7125507192640441,-1.5132933086820444,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:05:00,9.96,6.18,0.7325507192640455,-1.4719115511594691,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:10:00,9.91,6.12,0.772137605484783,-1.3921291954081212,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:15:00,9.94,6.13,0.7872064577813251,-1.3606824116834442,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:20:00,9.9,6.13,0.747206457781326,-1.4375148965939282,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:25:00,9.84,6.06,0.7917244917055211,-1.3481066754552036,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:30:00,9.89,6.08,0.8118621962986072,-1.3067915607257115,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:35:00,9.86,6.04,0.8415867871124316,-1.246740275701428,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:40:00,9.9,6.08,0.821862196298607,-1.283967022893902,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:45:00,9.93,6.1,0.8219999008916954,-1.282046205497774,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:50:00,9.88,6.08,0.8018621962986074,-1.320012594958361,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 12:55:00,9.93,6.11,0.8070687531882381,-1.3080690452594366,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:00:00,9.92,6.11,0.7970687531882383,-1.3260250243932705,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:05:00,9.89,6.09,0.7969310485951517,-1.3245912903737085,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:10:00,9.87,6.1,0.7619999008916949,-1.3915978025077222,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:15:00,9.88,6.1,0.7719999008916965,-1.3701076891386295,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:20:00,9.88,6.08,0.8018621962986074,-1.3095914882698663,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:25:00,9.94,6.1,0.8319999008916952,-1.2486334659179958,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:30:00,9.91,6.09,0.8169310485951513,-1.2767017761119221,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:35:00,9.91,6.1,0.8019999008916958,-1.3044364364601695,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:40:00,9.88,6.1,0.7719999008916965,-1.3617599764302797,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:45:00,9.88,6.09,0.786931048595152,-1.3306445919286276,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:50:00,9.9,6.08,0.821862196298607,-1.2602270727036347,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 13:55:00,9.88,6.1,0.7719999008916965,-1.356751691640888,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 14:00:00,9.88,6.09,0.786931048595152,-1.3256418951090987,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 14:05:00,9.9,6.1,0.791999900891696,-1.3140107856416068,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 14:10:00,9.86,6.08,0.7818621962986061,-1.3323106574491286,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 14:15:00,9.86,6.07,0.7967933440020634,-1.3012539810861687,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 14:20:00,9.9,6.08,0.821862196298607,-1.250303856467153,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 14:25:00,9.9,6.09,0.8069310485951515,-1.2781628959626419,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 14:30:00,9.89,6.08,0.8118621962986072,-1.2668562111503732,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
2023-04-26 14:35:00,9.9,6.08,0.821862196298607,-1.245625894944883,1.691287801240266,-1.84365400771159,False,False,1.0,False,True,0.0,1.0,1.4931147703456238
