time,VALE3,BRAP4,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2023-02-15 11:20:00,85.49,28.93,-0.924508850024381,0.9767949620487117,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 11:25:00,85.42,28.91,-0.9347684360250526,0.9606555541574712,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 11:30:00,85.08,28.84,-1.065676987027416,0.7921458159907924,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 11:35:00,84.93,28.85,-1.2455471940270684,0.5614355447644804,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 11:40:00,85.14,28.88,-1.125157815026057,0.7113579383464476,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 11:45:00,85.2,28.9,-1.1248982290253764,0.7087514658720763,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 11:50:00,85.28,28.89,-1.0150280220257173,0.8457309266455972,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 11:55:00,85.33,28.87,-0.9052876080263985,0.982558190539319,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:00:00,85.53,28.93,-0.8845088500243747,1.0058393321360604,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:05:00,85.44,28.95,-1.0342492640236998,0.8110491048282901,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:10:00,85.67,28.92,-0.7146386430247134,1.2173750912580978,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:15:00,85.68,28.98,-0.8838598850226873,0.9965004471995887,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:20:00,85.75,28.91,-0.6047684360250543,1.3511165763373447,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:25:00,85.86,28.96,-0.6441194710233589,1.2964924679339196,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:30:00,85.82,28.95,-0.6542492640237043,1.279074256592588,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:35:00,85.76,28.87,-0.4752876080263917,1.5046929340382815,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:40:00,85.73,28.86,-0.475417401026732,1.4993910104062338,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:45:00,85.66,28.79,-0.33632595202909954,1.6726246814299348,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:50:00,85.7,28.83,-0.4158067800277365,1.5638433780099483,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 12:55:00,85.63,28.84,-0.5156769870274189,1.4301953989259093,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 13:00:00,85.78,28.83,-0.3358067800277382,1.656468460502927,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
2023-02-15 13:05:00,85.8,28.83,-0.3158067800277422,1.6755891435627301,1.6816114940380953,-1.663444882926739,False,True,0.0,False,False,-1.0,-1.0,2.9870206999662763
