time,ELET3,ELET6,spread,zScore,short,long,long_entry,long_exit,positions_long,short_entry,short_exit,positions_short,positions,hegde
2023-05-18 14:50:00,34.32,38.26,-3.229506798739571,-0.6621935687359857,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 14:55:00,34.39,38.36,-3.2576497856678017,-0.7196946627657802,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:00:00,34.41,38.37,-3.2474640843606295,-0.6988321272666139,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:05:00,34.45,38.41,-3.2467212791319113,-0.6972856150120628,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:10:00,34.4,38.39,-3.277092681746275,-0.7592228691414218,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:15:00,34.4,38.36,-3.2476497856678037,-0.6990390472121119,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:20:00,34.45,38.41,-3.2467212791319113,-0.6970656248458375,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:25:00,34.43,38.43,-3.286349876517562,-0.7779561745177785,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:30:00,34.47,38.45,-3.2659784739032105,-0.7362312776728759,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:35:00,34.45,38.44,-3.2761641752103756,-0.7568835030411355,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:40:00,34.43,38.43,-3.286349876517562,-0.7775663152909428,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:45:00,34.45,38.41,-3.2467212791319113,-0.6964707900495979,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:50:00,34.4,38.4,-3.286906980439092,-0.778141849649157,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 15:55:00,34.4,38.39,-3.277092681746275,-0.7578145849072819,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 16:00:00,34.35,38.32,-3.258392590896513,-0.7193967034910965,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 16:05:00,34.22,38.21,-3.280435305275468,-0.7640710005975708,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 16:10:00,34.21,38.18,-3.2609924091969944,-0.7240162193621377,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 16:15:00,34.25,38.22,-3.2602496039682833,-0.7221506126977116,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 16:20:00,34.15,38.16,-3.301363811811349,-0.8056660610239076,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 16:25:00,34.13,38.16,-3.321363811811345,-0.8460182108963946,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 16:30:00,34.22,38.19,-3.260806707889813,-0.7220607070844652,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 16:35:00,34.24,38.16,-3.2113638118113457,-0.6208428544748278,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 16:40:00,34.3,38.21,-3.2004353052754695,-0.5982532685325073,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 16:45:00,34.32,38.22,-3.190249603968283,-0.5771963749028214,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-18 16:50:00,34.26,38.2,-3.230621006582645,-0.6592322514955401,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-19 10:00:00,34.53,38.2,-2.9606210065826417,-0.10854638003347948,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-19 10:05:00,34.56,38.2,-2.9306210065826406,-0.04747927567038212,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-19 10:10:00,34.3,37.92,-2.915820643183608,-0.01747047041615467,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-19 10:15:00,34.32,38.08,-3.052849422268764,-0.2970207844324625,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-19 10:20:00,34.52,38.29,-3.0589496948180397,-0.3094082572373263,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-19 10:25:00,34.59,38.3,-2.998763993510863,-0.1866756635423795,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
2023-05-19 10:30:00,34.52,38.32,-3.088392590896511,-0.36941470578531743,1.575376761890193,-1.844983558330696,False,False,1.0,False,True,0.0,1.0,0.981429869282268
